"3258 W ROOSEVELT RD , Chicago, IL",11,"1134",-87.7079063,41.8671103,"3258 w roosevelt rd, chicago, il 60624, usa"
"3842 W CHICAGO AVE , Chicago, IL",11,"1112",-87.7229011,41.8956908,"3842 w chicago ave, chicago, il 60651, usa"
"7333 S WINCHESTER AVE , Chicago, IL",7,"735",-87.6719732,41.7601617,"7333 s winchester ave, chicago, il 60636, usa"
"1216 W 59TH ST , Chicago, IL",7,"713",-87.6555382,41.7868831,"1216 w 59th st, chicago, il 60636, usa"
"1633 W 95TH ST , Chicago, IL",22,"2213",-87.6635844,41.7205689,"1633 w 95th st, chicago, il 60643, usa"
"2650 S CALIFORNIA AVE , Chicago, IL",10,"1033",-87.6957829,41.8431741,"2650 s california ave, chicago, il 60608, usa"
"1644 S ST LOUIS AVE , Chicago, IL",10,"1021",-87.7131341,41.8576882,"1644 s st louis ave, chicago, il 60623, usa"
"532 S PULASKI RD , Chicago, IL",11,"1132",-87.7254243,41.873907,"532 s pulaski rd, chicago, il 60624, usa"
"853 N HOMAN AVE , Chicago, IL",11,"1121",-87.7111917,41.8970923,"853 n homan ave., chicago, il 60651, usa"
"13200 S ELLIS AVE , Chicago, IL",5,"533",-87.5968142,41.6557243,"13200 s ellis ave, chicago, il 60827, usa"
"3941 W 16TH ST , Chicago, IL",10,"1014",-87.7240342,41.8585986,"3941 w 16th st, chicago, il 60623, usa"
"2927 W 51ST ST , Chicago, IL",9,"923",-87.6975586,41.8009264,"2927 w 51st st, chicago, il 60632, usa"
"2019 W 68TH ST , Chicago, IL",7,"726",-87.6744674,41.7700513,"2019 w 68th st, chicago, il 60636, usa"
"901 N PULASKI RD , Chicago, IL",11,"1112",-87.7259098,41.8974346,"901 n pulaski rd, chicago, il 60651, usa"
"4636 N SPAULDING AVE , Chicago, IL",17,"1713",-87.7110323,41.9657267,"4636 n spaulding ave, chicago, il 60625, usa"
"1856 S TROY ST , Chicago, IL",10,"1022",-87.7044257,41.8556242,"1856 s troy st, chicago, il 60623, usa"
